exercicio;demonstrativo;periodo;periodicidade;instituicao;cod_ibge;uf;populacao;anexo;esfera;rotulo;coluna;cod_conta;conta;valor
2021;RREO;3;B;Prefeitura Municipal de Aracaju - SE;2800308;SE;664908;RREO-Anexo 04;M;Padrão;PREVISÃO ATUALIZADA (a);ReceitasCorrentesRPPSBrutasPrevidenciario;RECEITAS CORRENTES (I);75998400,0
2021;RREO;3;B;Prefeitura Municipal de Aracaju - SE;2800308;SE;664908;RREO-Anexo 04;M;Padrão;RECEITAS REALIZADAS ATÉ O BIMESTRE (b);ReceitasCorrentesRPPSBrutasPrevidenciario;RECEITAS CORRENTES (I);43165838,37
2021;RREO;3;B;Prefeitura Municipal de Aracaju - SE;2800308;SE;664908;RREO-Anexo 04;M;Padrão;PREVISÃO ATUALIZADA (a);ReceitaDeContribuicoesDosSeguradosBrutaPrevidenciario;Receita de Contribuições dos Segurados;19470400,0
2021;RREO;3;B;Prefeitura Municipal de Aracaju - SE;2800308;SE;664908;RREO-Anexo 04;M;Padrão;RECEITAS REALIZADAS ATÉ O BIMESTRE (b);ReceitaDeContribuicoesDosSeguradosBrutaPrevidenciario;Receita de Contribuições dos Segurados;11974501,13
2021;RREO;3;B;Prefeitura Municipal de Aracaju - SE;2800308;SE;664908;RREO-Anexo 04;M;Padrão;PREVISÃO ATUALIZADA (a);ReceitaDeContribuicoesDosSeguradoslAtivoPrevidenciario;Ativo;19380000,0
2021;RREO;3;B;Prefeitura Municipal de Aracaju - SE;2800308;SE;664908;RREO-Anexo 04;M;Padrão;RECEITAS REALIZADAS ATÉ O BIMESTRE (b);ReceitaDeContribuicoesDosSeguradoslAtivoPrevidenciario;Ativo;11974501,13
2021;RREO;3;B;Prefeitura Municipal de Aracaju - SE;2800308;SE;664908;RREO-Anexo 04;M;Padrão;PREVISÃO ATUALIZADA (a);ReceitaDeContribuicoesDosSeguradosInativoPrevidenciario;Inativo;85800,0
2021;RREO;3;B;Prefeitura Municipal de Aracaju - SE;2800308;SE;664908;RREO-Anexo 04;M;Padrão;PREVISÃO ATUALIZADA (a);ReceitaDeContribuicoesDosSeguradosPensionistaPrevidenciario;Pensionista;4600,0
2021;RREO;3;B;Prefeitura Municipal de Aracaju - SE;2800308;SE;664908;RREO-Anexo 04;M;Padrão;PREVISÃO ATUALIZADA (a);ReceitaDeContribuicoesPatronalPrevidenciario;Receita de Contribuições Patronais;56468000,0
2021;RREO;3;B;Prefeitura Municipal de Aracaju - SE;2800308;SE;664908;RREO-Anexo 04;M;Padrão;RECEITAS REALIZADAS ATÉ O BIMESTRE (b);ReceitaDeContribuicoesPatronalPrevidenciario;Receita de Contribuições Patronais;29645769,17
